tweet_id,text,source,user_id,sentiment,topic,rumor_label
46,"Rumors of a government cover-up regarding UFO sightings. #UFO #government",Online Forum,123456,Negative,Conspiracy,True
47,"Reports of a new scientific discovery revolutionizing the field of medicine. #science #medicine",News,567890,Positive,Science,False
48,"Rumors of a new luxury car model in development. #cars #luxury",Twitter,901234,Neutral,Automobile,True
49,"Breaking News: Rumors of a new political scandal emerge. #scandal #politics",Government,345678,Negative,Politics,True
50,"Rumors of a potential data breach at a major technology company. #databreach #technology",Twitter,789012,Neutral,Security,True
51,"Reports of a new trend in sustainable living gaining momentum. #sustainability #trend",Online Forum,123456,Positive,Sustainability,False
52,"Rumors of a new social media platform in development. #socialmedia #development",News,567890,Neutral,Social Media,True
53,"Breaking: Rumors of a new global epidemic spark panic. #epidemic #panic",Government,901234,Negative,Health,False
54,"Rumors of a major celebrity scandal surface on social media. #celebrity #scandal",Twitter,345678,Neutral,Celebrity,True
55,"Reports of a new cybersecurity threat targeting businesses. #cybersecurity #threat",Online Forum,789012,Negative,Cybersecurity,False
56,"Rumors of a secret government experiment leaked online. #conspiracy #government",News,123456,Negative,Conspiracy,True
57,"Breaking: Rumors of a potential terrorist attack thwarted by authorities. #terrorism #security",Government,567890,Negative,Terrorism,False
58,"Rumors of a new health fad sweeping social media. #health #fad",Twitter,901234,Neutral,Health,True
59,"Reports of a new trend in eco-friendly fashion gaining popularity. #fashion #ecofriendly",Online Forum,345678,Positive,Fashion,False
60,"Rumors of a potential merger between two major corporations. #merger #business",News,789012,Neutral,Business,True
61,"Breaking: Rumors of a new political scandal surface. #scandal #politics",Government,123456,Negative,Politics,True
62,"Rumors of a new technological breakthrough in renewable energy. #technology #renewableenergy",Twitter,567890,Positive,Technology,False
63,"Reports of a new trend in healthy eating gaining traction. #health #eating",Online Forum,901234,Positive,Health,False
64,"Rumors of a government conspiracy to manipulate the stock market. #conspiracy #stockmarket",News,345678,Negative,Conspiracy,True
65,"Breaking: Rumors of a potential natural disaster prompt evacuations. #disaster #evacuations",Government,789012,Negative,Disaster,False
66,"Rumors of a new celebrity endorsement deal in the works. #celebrity #endorsement",Twitter,123456,Neutral,Celebrity,True
67,"Reports of a new trend in mindfulness meditation gaining popularity. #mindfulness #meditation",Online Forum,567890,Positive,Wellness,False
68,"Rumors of a major security breach at a leading technology company. #security #breach",News,901234,Negative,Security,True
69,"Breaking: Rumors of a new terrorist plot uncovered by intelligence agencies. #terrorism #intelligence",Government,345678,Negative,Terrorism,False
70,"Rumors of a new health supplement gaining popularity. #health #supplement",Twitter,789012,Neutral,Health,True
71,"Reports of a new trend in sustainable living gaining traction. #sustainability #trend",Online Forum,123456,Positive,Sustainability,False
72,"Rumors of a potential merger between two major tech companies. #merger #tech",News,567890,Neutral,Tech,True
73,"Breaking: Rumors of a new virus outbreak in a major city. #virus #outbreak",Government,901234,Negative,Health,False
74,"Rumors of a celebrity scandal surface on social media. #celebrity #scandal",Twitter,345678,Neutral,Celebrity,True
75,"Reports of a new cybersecurity threat targeting businesses. #cybersecurity #threat",Online Forum,789012,Negative,Cybersecurity,False
76,"Rumors of a secret government experiment leaked online. #conspiracy #government",News,123456,Negative,Conspiracy,True
77,"Breaking: Rumors of a potential terrorist attack thwarted by authorities. #terrorism #security",Government,567890,Negative,Terrorism,False
78,"Rumors of a new health fad sweeping social media. #health #fad",Twitter,901234,Neutral,Health,True
79,"Reports of a new trend in eco-friendly fashion gaining popularity. #fashion #ecofriendly",Online Forum,345678,Positive,Fashion,False
80,"Rumors of a potential merger between two major corporations. #merger #business",News,789012,Neutral,Business,True
81,"Breaking: Rumors of a new political scandal surface. #scandal #politics",Government,123456,Negative,Politics,True
82,"Rumors of a new technological breakthrough in renewable energy. #technology #renewableenergy",Twitter,567890,Positive,Technology,False
83,"Reports of a new trend in healthy eating gaining traction. #health #eating",Online Forum,901234,Positive,Health,False
84,"Rumors of a government conspiracy to manipulate the stock market. #conspiracy #stockmarket",News,345678,Negative,Conspiracy,True
85,"Breaking: Rumors of a potential natural disaster prompt evacuations. #disaster #evacuations",Government,789012,Negative,Disaster,False
86,"Rumors of a new celebrity endorsement deal in the works. #celebrity #endorsement",Twitter,123456,Neutral,Celebrity,True
87,"Reports of a new trend in mindfulness meditation gaining popularity. #mindfulness #meditation",Online Forum,567890,Positive,Wellness,False
88,"Rumors of a major security breach at a leading technology company. #security #breach",News,901234,Negative,Security,True
89,"Breaking: Rumors of a new terrorist plot uncovered by intelligence agencies. #terrorism #intelligence",Government,345678,Negative,Terrorism,False
90,"Rumors of a new health supplement gaining popularity. #health #supplement",Twitter,789012,Neutral,Health,True
91,"Reports of a new trend in sustainable living gaining traction. #sustainability #trend",Online Forum,123456,Positive,Sustainability,False
92,"Rumors of a potential merger between two major tech companies. #merger #tech",News,567890,Neutral,Tech,True
93,"Breaking: Rumors of a new virus outbreak in a major city. #virus #outbreak",Government,901234,Negative,Health,False
94,"Rumors of a celebrity scandal surface on social media. #celebrity #scandal",Twitter,345678,Neutral,Celebrity,True
95,"Reports of a new cybersecurity threat targeting businesses. #cybersecurity #threat",Online Forum,789012,Negative,Cybersecurity,False
96,"Rumors of a secret government experiment leaked online. #conspiracy #government",News,123456,Negative,Conspiracy,True
97,"Breaking: Rumors of a potential terrorist attack thwarted by authorities. #terrorism #security",Government,567890,Negative,Terrorism,False
98,"Rumors of a new health fad sweeping social media. #health #fad",Twitter,901234,Neutral,Health,True
99,"Reports of a new trend in eco-friendly fashion gaining popularity. #fashion #ecofriendly",Online Forum,345678,Positive,Fashion,False
100,"Rumors of a potential merger between two major corporations. #merger #business",News,789012,Neutral,Business,True
101,"Breaking: Rumors of a new political scandal surface. #scandal #politics",Government,123456,Negative,Politics,True
102,"Rumors of a new technological breakthrough in renewable energy. #technology #renewableenergy",Twitter,567890,Positive,Technology,False
103,"Reports of a new trend in healthy eating gaining traction. #health #eating",Online Forum,901234,Positive,Health,False
104,"Rumors of a government conspiracy to manipulate the stock market. #conspiracy #stockmarket",News,345678,Negative,Conspiracy,True
105,"Breaking: Rumors of a potential natural disaster prompt evacuations. #disaster #evacuations",Government,789012,Negative,Disaster,False
106,"Rumors of a new celebrity endorsement deal in the works. #celebrity #endorsement",Twitter,123456,Neutral,Celebrity,True
107,"Reports of a new trend in mindfulness meditation gaining popularity. #mindfulness #meditation",Online Forum,567890,Positive,Wellness,False
108,"Rumors of a major security breach at a leading technology company. #security #breach",News,901234,Negative,Security,True
109,"Breaking: Rumors of a new terrorist plot uncovered by intelligence agencies. #terrorism #intelligence",Government,345678,Negative,Terrorism,False
110,"Rumors of a new health supplement gaining popularity. #health #supplement",Twitter,789012,Neutral,Health,True
111,"Reports of a new trend in sustainable living gaining traction. #sustainability #trend",Online Forum,123456,Positive,Sustainability,False
112,"Rumors of a potential merger between two major tech companies. #merger #tech",News,567890,Neutral,Tech,True
113,"Breaking: Rumors of a new virus outbreak in a major city. #virus #outbreak",Government,901234,Negative,Health,False
114,"Rumors of a celebrity scandal surface on social media. #celebrity #scandal",Twitter,345678,Neutral,Celebrity,True
115,"Reports of a new cybersecurity threat targeting businesses. #cybersecurity #threat",Online Forum,789012,Negative,Cybersecurity,False
116,"Rumors of a secret government experiment leaked online. #conspiracy #government",News,123456,Negative,Conspiracy,True
117,"Breaking: Rumors of a potential terrorist attack thwarted by authorities. #terrorism #security",Government,567890,Negative,Terrorism,False
118,"Rumors of a new health fad sweeping social media. #health #fad",Twitter,901234,Neutral,Health,True
119,"Reports of a new trend in eco-friendly fashion gaining popularity. #fashion #ecofriendly",Online Forum,345678,Positive,Fashion,False
120,"Rumors of a potential merger between two major corporations. #merger #business",News,789012,Neutral,Business,True
121,"Breaking: Rumors of a new political scandal surface. #scandal #politics",Government,123456,Negative,Politics,True
122,"Rumors of a new technological breakthrough in renewable energy. #technology #renewableenergy",Twitter,567890,Positive,Technology,False
123,"Reports of a new trend in healthy eating gaining traction. #health #eating",Online Forum,901234,Positive,Health,False
124,"Rumors of a government conspiracy to manipulate the stock market. #conspiracy #stockmarket",News,345678,Negative,Conspiracy,True
125,"Breaking: Rumors of a potential natural disaster prompt evacuations. #disaster #evacuations",Government,789012,Negative,Disaster,False
126,"Rumors of a new celebrity endorsement deal in the works. #celebrity #endorsement",Twitter,123456,Neutral,Celebrity,True
127,"Reports of a new trend in mindfulness meditation gaining popularity. #mindfulness #meditation",Online Forum,567890,Positive,Wellness,False
128,"Rumors of a major security breach at a leading technology company. #security #breach",News,901234,Negative,Security,True
129,"Breaking: Rumors of a new terrorist plot uncovered by intelligence agencies. #terrorism #intelligence",Government,345678,Negative,Terrorism,False
130,"Rumors of a new health supplement gaining popularity. #health #supplement",Twitter,789012,Neutral,Health,True
131,"Reports of a new trend in sustainable living gaining traction. #sustainability #trend",Online Forum,123456,Positive,Sustainability,False
132,"Rumors of a potential merger between two major tech companies. #merger #tech",News,567890,Neutral,Tech,True
133,"Breaking: Rumors of a new virus outbreak in a major city. #virus #outbreak",Government,901234,Negative,Health,False
134,"Rumors of a celebrity scandal surface on social media. #celebrity #scandal",Twitter,345678,Neutral,Celebrity,True
135,"Reports of a new cybersecurity threat targeting businesses. #cybersecurity #threat",Online Forum,789012,Negative,Cybersecurity,False
136,"Rumors of a secret government experiment leaked online. #conspiracy #government",News,123456,Negative,Conspiracy,True
137,"Breaking: Rumors of a potential terrorist attack thwarted by authorities. #terrorism #security",Government,567890,Negative,Terrorism,False
138,"Rumors of a new health fad sweeping social media. #health #fad",Twitter,901234,Neutral,Health,True
139,"Reports of a new trend in eco-friendly fashion gaining popularity. #fashion #ecofriendly",Online Forum,345678,Positive,Fashion,False
140,"Rumors of a potential merger between two major corporations. #merger #business",News,789012,Neutral,Business,True
141,"Breaking: Rumors of a new political scandal surface. #scandal #politics",Government,123456,Negative,Politics,True
142,"Rumors of a new technological breakthrough in renewable energy. #technology #renewableenergy",Twitter,567890,Positive,Technology,False
143,"Reports of a new trend in healthy eating gaining traction. #health #eating",Online Forum,901234,Positive,Health,False
144,"Rumors of a government conspiracy to manipulate the stock market. #conspiracy #stockmarket",News,345678,Negative,Conspiracy,True
145,"Breaking: Rumors of a potential natural disaster prompt evacuations. #disaster #evacuations",Government,789012,Negative,Disaster,False
146,"Rumors of a new celebrity endorsement deal in the works. #celebrity #endorsement",Twitter,123456,Neutral,Celebrity,True
147,"Reports of a new trend in mindfulness meditation gaining popularity. #mindfulness #meditation",Online Forum,567890,Positive,Wellness,False
148,"Rumors of a major security breach at a leading technology company. #security #breach",News,901234,Negative,Security,True
149,"Breaking: Rumors of a new terrorist plot uncovered by intelligence agencies. #terrorism #intelligence",Government,345678,Negative,Terrorism,False
150,"Rumors of a new health supplement gaining popularity. #health #supplement",Twitter,789012,Neutral,Health,True
151,"Reports of a new trend in sustainable living gaining traction. #sustainability #trend",Online Forum,123456,Positive,Sustainability,False
152,"Rumors of a potential merger between two major tech companies. #merger #tech",News,567890,Neutral,Tech,True
153,"Breaking: Rumors of a new virus outbreak in a major city. #virus #outbreak",Government,901234,Negative,Health,False
154,"Rumors of a celebrity scandal surface on social media. #celebrity #scandal",Twitter,345678,Neutral,Celebrity,True
155,"Reports of a new cybersecurity threat targeting businesses. #cybersecurity #threat",Online Forum,789012,Negative,Cybersecurity,False
156,"Rumors of a secret government experiment leaked online. #conspiracy #government",News,123456,Negative,Conspiracy,True
157,"Breaking: Rumors of a potential terrorist attack thwarted by authorities. #terrorism #security",Government,567890,Negative,Terrorism,False
158,"Rumors of a new health fad sweeping social media. #health #fad",Twitter,901234,Neutral,Health,True
159,"Reports of a new trend in eco-friendly fashion gaining popularity. #fashion #ecofriendly",Online Forum,345678,Positive,Fashion,False
160,"Rumors of a potential merger between two major corporations. #merger #business",News,789012,Neutral,Business,True
161,"Breaking: Rumors of a new political scandal surface. #scandal #politics",Government,123456,Negative,Politics,True
162,"Rumors of a new technological breakthrough in renewable energy. #technology #renewableenergy",Twitter,567890,Positive,Technology,False
163,"Reports of a new trend in healthy eating gaining traction. #health #eating",Online Forum,901234,Positive,Health,False
164,"Rumors of a government conspiracy to manipulate the stock market. #conspiracy #stockmarket",News,345678,Negative,Conspiracy,True
165,"Breaking: Rumors of a potential natural disaster prompt evacuations. #disaster #evacuations",Government,789012,Negative,Disaster,False
166,"Rumors of a new celebrity endorsement deal in the works. #celebrity #endorsement",Twitter,123456,Neutral,Celebrity,True
167,"Reports of a new trend in mindfulness meditation gaining popularity. #mindfulness #meditation",Online Forum,567890,Positive,Wellness,False
168,"Rumors of a major security breach at a leading technology company. #security #breach",News,901234,Negative,Security,True
169,"Breaking: Rumors of a new terrorist plot uncovered by intelligence agencies. #terrorism #intelligence",Government,345678,Negative,Terrorism,False
170,"Rumors of a new health supplement gaining popularity. #health #supplement",Twitter,789012,Neutral,Health,True
171,"Reports of a new trend in sustainable living gaining traction. #sustainability #trend",Online Forum,123456,Positive,Sustainability,False
172,"Rumors of a potential merger between two major tech companies. #merger #tech",News,567890,Neutral,Tech,True
173,"Breaking: Rumors of a new virus outbreak in a major city. #virus #outbreak",Government,901234,Negative,Health,False
174,"Rumors of a celebrity scandal surface on social media. #celebrity #scandal",Twitter,345678,Neutral,Celebrity,True
175,"Reports of a new cybersecurity threat targeting businesses. #cybersecurity #threat",Online Forum,789012,Negative,Cybersecurity,False
176,"Rumors of a secret government experiment leaked online. #conspiracy #government",News,123456,Negative,Conspiracy,True
177,"Breaking: Rumors of a potential terrorist attack thwarted by authorities. #terrorism #security",Government,567890,Negative,Terrorism,False
178,"Rumors of a new health fad sweeping social media. #health #fad",Twitter,901234,Neutral,Health,True
179,"Reports of a new trend in eco-friendly fashion gaining popularity. #fashion #ecofriendly",Online Forum,345678,Positive,Fashion,False
180,"Rumors of a potential merger between two major corporations. #merger #business",News,789012,Neutral,Business,True
181,"Breaking: Rumors of a new political scandal surface. #scandal #politics",Government,123456,Negative,Politics,True
182,"Rumors of a new technological breakthrough in renewable energy. #technology #renewableenergy",Twitter,567890,Positive,Technology,False
183,"Reports of a new trend in healthy eating gaining traction. #health #eating",Online Forum,901234,Positive,Health,False
184,"Rumors of a government conspiracy to manipulate the stock market. #conspiracy #stockmarket",News,345678,Negative,Conspiracy,True
185,"Breaking: Rumors of a potential natural disaster prompt evacuations. #disaster #evacuations",Government,789012,Negative,Disaster,False
186,"Rumors of a new celebrity endorsement deal in the works. #celebrity #endorsement",Twitter,123456,Neutral,Celebrity,True
187,"Reports of a new trend in mindfulness meditation gaining popularity. #mindfulness #meditation",Online Forum,567890,Positive,Wellness,False
188,"Rumors of a major security breach at a leading technology company. #security #breach",News,901234,Negative,Security,True
189,"Breaking: Rumors of a new terrorist plot uncovered by intelligence agencies. #terrorism #intelligence",Government,345678,Negative,Terrorism,False
190,"Rumors of a new health supplement gaining popularity. #health #supplement",Twitter,789012,Neutral,Health,True
191,"Reports of a new trend in sustainable living gaining traction. #sustainability #trend",Online Forum,123456,Positive,Sustainability,False
192,"Rumors of a potential merger between two major tech companies. #merger #tech",News,567890,Neutral,Tech,True
193,"Breaking: Rumors of a new virus outbreak in a major city. #virus #outbreak",Government,901234,Negative,Health,False
194,"Rumors of a celebrity scandal surface on social media. #celebrity #scandal",Twitter,345678,Neutral,Celebrity,True
195,"Reports of a new cybersecurity threat targeting businesses. #cybersecurity #threat",Online Forum,789012,Negative,Cybersecurity,False
196,"Rumors of a secret government experiment leaked online. #conspiracy #government",News,123456,Negative,Conspiracy,True
197,"Breaking: Rumors of a potential terrorist attack thwarted by authorities. #terrorism #security",Government,567890,Negative,Terrorism,False
198,"Rumors of a new health fad sweeping social media. #health #fad",Twitter,901234,Neutral,Health,True
199,"Reports of a new trend in eco-friendly fashion gaining popularity. #fashion #ecofriendly",Online Forum,345678,Positive,Fashion,False
200,"Rumors of a potential merger between two major corporations. #merger #business",News,789012,Neutral,Business,True
201,"Breaking: Rumors of a new political scandal surface. #scandal #politics",Government,123456,Negative,Politics,True
202,"Rumors of a new technological breakthrough in renewable energy. #technology #renewableenergy",Twitter,567890,Positive,Technology,False
203,"Reports of a new trend in healthy eating gaining traction. #health #eating",Online Forum,901234,Positive,Health,False
204,"Rumors of a government conspiracy to manipulate the stock market. #conspiracy #stockmarket",News,345678,Negative,Conspiracy,True
205,"Breaking: Rumors of a potential natural disaster prompt evacuations. #disaster #evacuations",Government,789012,Negative,Disaster,False
206,"Rumors of a new celebrity endorsement deal in the works. #celebrity #endorsement",Twitter,123456,Neutral,Celebrity,True
207,"Reports of a new trend in mindfulness meditation gaining popularity. #mindfulness #meditation",Online Forum,567890,Positive,Wellness,False
208,"Rumors of a major security breach at a leading technology company. #security #breach",News,901234,Negative,Security,True
209,"Breaking: Rumors of a new terrorist plot uncovered by intelligence agencies. #terrorism #intelligence",Government,345678,Negative,Terrorism,False
210,"Rumors of a new health supplement gaining popularity. #health #supplement",Twitter,789012,Neutral,Health,True
211,"Reports of a new trend in sustainable living gaining traction. #sustainability #trend",Online Forum,123456,Positive,Sustainability,False
212,"Rumors of a potential merger between two major tech companies. #merger #tech",News,567890,Neutral,Tech,True
213,"Breaking: Rumors of a new virus outbreak in a major city. #virus #outbreak",Government,901234,Negative,Health,False
214,"Rumors of a celebrity scandal surface on social media. #celebrity #scandal",Twitter,345678,Neutral,Celebrity,True
215,"Reports of a new cybersecurity threat targeting businesses. #cybersecurity #threat",Online Forum,789012,Negative,Cybersecurity,False
216,"Rumors of a secret government experiment leaked online. #conspiracy #government",News,123456,Negative,Conspiracy,True
217,"Breaking: Rumors of a potential terrorist attack thwarted by authorities. #terrorism #security",Government,567890,Negative,Terrorism,False
218,"Rumors of a new health fad sweeping social media. #health #fad",Twitter,901234,Neutral,Health,True
219,"Reports of a new trend in eco-friendly fashion gaining popularity. #fashion #ecofriendly",Online Forum,345678,Positive,Fashion,False
220,"Rumors of a potential merger between two major corporations. #merger #business",News,789012,Neutral,Business,True
221,"Breaking: Rumors of a new political scandal surface. #scandal #politics",Government,123456,Negative,Politics,True
222,"Rumors of a new technological breakthrough in renewable energy. #technology #renewableenergy",Twitter,567890,Positive,Technology,False
223,"Reports of a new trend in healthy eating gaining traction. #health #eating",Online Forum,901234,Positive,Health,False
224,"Rumors of a government conspiracy to manipulate the stock market. #conspiracy #stockmarket",News,345678,Negative,Conspiracy,True
225,"Breaking: Rumors

 of a potential natural disaster prompt evacuations. #disaster #evacuations",Government,789012,Negative,Disaster,False
226,"Rumors of a new celebrity endorsement deal in the works. #celebrity #endorsement",Twitter,123456,Neutral,Celebrity,True
227,"Reports of a new trend in mindfulness meditation gaining popularity. #mindfulness #meditation",Online Forum,567890,Positive,Wellness,False
228,"Rumors of a major security breach at a leading technology company. #security #breach",News,901234,Negative,Security,True
